transaction_id,date,time,day_of_week,is_weekend,product_id,product_name,category,sub_category,brand,store_section,quantity,unit_price,unit_cost,discount_pct,discount_amount,line_total,gross_profit,payment_method
A2243FBE,2026-01-01,07:07:09,Thursday,No,P028,Hand Cream 50ml,Personal Care,Skincare,Vaseline,Personal Care,1,95.0,58.0,0.0,0.0,95.0,37.0,UPI
A2243FBE,2026-01-01,07:07:09,Thursday,No,P005,Butter 100g,Dairy,Butter,Amul,Refrigerated,3,55.0,40.0,0.1,0.17,164.83,44.83,UPI
A2243FBE,2026-01-01,07:07:09,Thursday,No,P025,Baby Spinach 150g,Produce,Leafy Green,Local,Produce,1,45.0,25.0,0.0,0.0,45.0,20.0,UPI
C367A25C,2026-01-01,07:09:15,Thursday,No,P037,Vitamin C Supplements 30s,Seasonal,Health,Himalaya,Personal Care,1,195.0,95.0,0.0,0.0,195.0,100.0,Cash
C367A25C,2026-01-01,07:09:15,Thursday,No,P014,Green Tea 20 bags,Beverages,Tea,Tetley,Dry Goods,1,120.0,75.0,7.5,9.0,111.0,36.0,Cash
C367A25C,2026-01-01,07:09:15,Thursday,No,P030,Travel Shampoo 100ml,Personal Care,Hair Care,Dove,Personal Care,1,75.0,46.0,1.1,0.82,74.18,28.18,Cash
57866F3C,2026-01-01,07:17:15,Thursday,No,P035,Sunscreen SPF50 100ml,Seasonal,Summer Care,Neutrogena,Seasonal,1,395.0,180.0,0.0,0.0,395.0,215.0,Cash
57866F3C,2026-01-01,07:17:15,Thursday,No,P006,Cheese Slices 200g,Dairy,Cheese,Britannia,Refrigerated,1,95.0,68.0,5.6,5.32,89.68,21.68,Cash
57866F3C,2026-01-01,07:17:15,Thursday,No,P028,Hand Cream 50ml,Personal Care,Skincare,Vaseline,Personal Care,1,95.0,58.0,0.0,0.0,95.0,37.0,Cash
C34EA8A5,2026-01-01,07:19:36,Thursday,No,P026,Cherry Tomatoes 250g,Produce,Vegetables,Local,Produce,2,60.0,35.0,3.0,3.6,116.4,46.4,UPI
C34EA8A5,2026-01-01,07:19:36,Thursday,No,P013,Fresh Orange Juice 1L,Beverages,Juice,Tropicana,Refrigerated,1,95.0,62.0,5.7,5.42,89.58,27.58,UPI
C34EA8A5,2026-01-01,07:19:36,Thursday,No,P005,Butter 100g,Dairy,Butter,Amul,Refrigerated,1,55.0,40.0,0.0,0.0,55.0,15.0,UPI
C34EA8A5,2026-01-01,07:19:36,Thursday,No,P016,Coconut Water 330ml,Beverages,Water,Raw Pressery,Refrigerated,1,70.0,44.0,0.0,0.0,70.0,26.0,UPI
C34EA8A5,2026-01-01,07:19:36,Thursday,No,P007,Sourdough Bread 400g,Bakery,Bread,Modern,Bakery Shelf,1,65.0,40.0,0.1,0.07,64.93,24.93,UPI
517F3D06,2026-01-01,07:27:00,Thursday,No,P013,Fresh Orange Juice 1L,Beverages,Juice,Tropicana,Refrigerated,3,95.0,62.0,15.0,42.75,242.25,56.25,Card
517F3D06,2026-01-01,07:27:00,Thursday,No,P024,Bananas 6pk,Produce,Fruit,Local,Produce,1,40.0,22.0,7.2,2.88,37.12,15.12,Card
517F3D06,2026-01-01,07:27:00,Thursday,No,P028,Hand Cream 50ml,Personal Care,Skincare,Vaseline,Personal Care,1,95.0,58.0,0.0,0.0,95.0,37.0,Card
D707F01A,2026-01-01,07:30:32,Thursday,No,P004,Greek Yogurt 400g,Dairy,Yogurt,Epigamia,Refrigerated,2,80.0,55.0,0.0,0.0,160.0,50.0,UPI
D707F01A,2026-01-01,07:30:32,Thursday,No,P033,Zip-lock Bags 30pk,Household,Storage,Ziploc,Household,1,95.0,58.0,2.4,2.28,92.72,34.72,UPI
3B598CFA,2026-01-01,08:15:23,Thursday,No,P035,Sunscreen SPF50 100ml,Seasonal,Summer Care,Neutrogena,Seasonal,1,395.0,180.0,0.1,0.4,394.6,214.6,Cash
3B598CFA,2026-01-01,08:15:23,Thursday,No,P020,Dark Chocolate 70% 100g,Snacks,Chocolate,Amano,Snacks Aisle,1,95.0,58.0,3.0,2.85,92.15,34.15,Cash
7C8C5AA8,2026-01-01,08:18:15,Thursday,No,P035,Sunscreen SPF50 100ml,Seasonal,Summer Care,Neutrogena,Seasonal,1,395.0,180.0,0.0,0.0,395.0,215.0,Cash
9769969E,2026-01-01,08:27:22,Thursday,No,P033,Zip-lock Bags 30pk,Household,Storage,Ziploc,Household,1,95.0,58.0,0.0,0.0,95.0,37.0,UPI
ADB72F57,2026-01-01,08:48:54,Thursday,No,P031,Dish Soap 500ml,Household,Cleaning,Vim,Household,1,85.0,52.0,9.0,7.65,77.35,25.35,Cash
ADB72F57,2026-01-01,08:48:54,Thursday,No,P014,Green Tea 20 bags,Beverages,Tea,Tetley,Dry Goods,2,120.0,75.0,0.0,0.0,240.0,90.0,Cash
A9016BA0,2026-01-01,08:49:17,Thursday,No,P035,Sunscreen SPF50 100ml,Seasonal,Summer Care,Neutrogena,Seasonal,1,395.0,180.0,1.8,7.11,387.89,207.89,Card
A9016BA0,2026-01-01,08:49:17,Thursday,No,P022,Rice Crackers 150g,Snacks,Crackers,Bingo,Snacks Aisle,1,55.0,33.0,2.7,1.49,53.51,20.51,Card
15F8498B,2026-01-01,08:56:36,Thursday,No,P006,Cheese Slices 200g,Dairy,Cheese,Britannia,Refrigerated,1,95.0,68.0,0.0,0.0,95.0,27.0,Cash
15F8498B,2026-01-01,08:56:36,Thursday,No,P027,Avocado,Produce,Fruit,Local,Produce,1,55.0,32.0,0.0,0.0,55.0,23.0,Cash
75B46D2A,2026-01-01,08:56:44,Thursday,No,P024,Bananas 6pk,Produce,Fruit,Local,Produce,2,40.0,22.0,0.0,0.0,80.0,36.0,UPI
75B46D2A,2026-01-01,08:56:44,Thursday,No,P036,Hand Sanitizer 200ml,Seasonal,Hygiene,Dettol,Personal Care,1,95.0,52.0,8.0,7.6,87.4,35.4,UPI
29E95CF2,2026-01-01,09:13:04,Thursday,No,P030,Travel Shampoo 100ml,Personal Care,Hair Care,Dove,Personal Care,1,75.0,46.0,0.0,0.0,75.0,29.0,Card
6804A404,2026-01-01,09:59:56,Thursday,No,P031,Dish Soap 500ml,Household,Cleaning,Vim,Household,1,85.0,52.0,0.0,0.0,85.0,33.0,UPI
6804A404,2026-01-01,09:59:56,Thursday,No,P027,Avocado,Produce,Fruit,Local,Produce,2,55.0,32.0,0.0,0.0,110.0,46.0,UPI
E86BB72D,2026-01-01,10:26:24,Thursday,No,P002,Skimmed Milk 500ml,Dairy,Milk,Mother Dairy,Refrigerated,1,28.0,20.0,0.0,0.0,28.0,8.0,UPI
E86BB72D,2026-01-01,10:26:24,Thursday,No,P037,Vitamin C Supplements 30s,Seasonal,Health,Himalaya,Personal Care,1,195.0,95.0,8.5,16.57,178.43,83.43,UPI
C0EE7612,2026-01-01,10:34:48,Thursday,No,P020,Dark Chocolate 70% 100g,Snacks,Chocolate,Amano,Snacks Aisle,1,95.0,58.0,0.0,0.0,95.0,37.0,UPI
A2F2661B,2026-01-01,10:51:16,Thursday,No,P018,Archi POPs Chips 4pk,Snacks,Chips,Archi POP's,Snacks Aisle,1,120.0,72.0,4.9,5.88,114.12,42.12,Card
A2F2661B,2026-01-01,10:51:16,Thursday,No,P036,Hand Sanitizer 200ml,Seasonal,Hygiene,Dettol,Personal Care,1,95.0,52.0,6.9,6.55,88.45,36.45,Card
A2F2661B,2026-01-01,10:51:16,Thursday,No,P001,Whole Milk 1L,Dairy,Milk,Amul,Refrigerated,1,52.0,38.0,0.9,0.47,51.53,13.53,Card
A2F2661B,2026-01-01,10:51:16,Thursday,No,P034,Wool Winter Scarf,Seasonal,Winter Wear,Fabindia,Seasonal,1,499.0,200.0,0.0,0.0,499.0,299.0,Card
AB644BE1,2026-01-01,11:14:00,Thursday,No,P015,Energy Drink 250ml,Beverages,Energy,Monster,Beverages Aisle,4,115.0,72.0,8.6,39.56,420.44,132.44,Cash
AB644BE1,2026-01-01,11:14:00,Thursday,No,P005,Butter 100g,Dairy,Butter,Amul,Refrigerated,1,55.0,40.0,2.1,1.16,53.84,13.84,Cash
CE01EBEA,2026-01-01,11:29:24,Thursday,No,P036,Hand Sanitizer 200ml,Seasonal,Hygiene,Dettol,Personal Care,1,95.0,52.0,0.0,0.0,95.0,43.0,Cash
CE01EBEA,2026-01-01,11:29:24,Thursday,No,P015,Energy Drink 250ml,Beverages,Energy,Monster,Beverages Aisle,2,115.0,72.0,0.0,0.0,230.0,86.0,Cash
CE01EBEA,2026-01-01,11:29:24,Thursday,No,P021,Popcorn Caramel 100g,Snacks,Popcorn,Act II,Snacks Aisle,1,45.0,27.0,3.1,1.4,43.6,16.6,Cash
CE01EBEA,2026-01-01,11:29:24,Thursday,No,P004,Greek Yogurt 400g,Dairy,Yogurt,Epigamia,Refrigerated,3,80.0,55.0,0.0,0.0,240.0,75.0,Cash
2A8C5BC1,2026-01-01,12:00:21,Thursday,No,P017,Almond Milk 1L,Beverages,Plant Milk,Epigamia,Refrigerated,2,130.0,85.0,0.0,0.0,260.0,90.0,UPI
2A8C5BC1,2026-01-01,12:00:21,Thursday,No,P011,Cold Brew Coffee 250ml,Beverages,Coffee,Blue Tokai,Refrigerated,1,85.0,52.0,0.0,0.0,85.0,33.0,UPI
