date,product_id,product_name,category,quantity,unit_price,revenue,cost
2026-01-01,P001,Whole Milk 1L,Dairy,6,3.49,20.94,12.6
2026-01-01,P002,Sourdough Bread,Bakery,6,4.99,29.94,15.0
2026-01-01,P003,Organic Eggs (12pk),Dairy,7,5.99,41.93,24.5
2026-01-01,P004,Archi POP's Chips (4pk),Snacks,4,6.49,25.96,12.8
2026-01-01,P005,Cold Brew Coffee,Beverages,10,4.29,42.9,18.0
2026-01-01,P006,Greek Yogurt 500g,Dairy,3,3.99,11.97,6.6
2026-01-01,P007,Sparkling Water (6pk),Beverages,13,5.49,71.37,36.4
2026-01-01,P008,Dark Chocolate Bar,Snacks,3,3.29,9.87,4.5
2026-01-01,P009,Fresh Orange Juice 1L,Beverages,10,4.79,47.9,26.0
2026-01-01,P010,Winter Scarf (Wool),Seasonal,6,19.99,119.94,48.0
2026-01-01,P011,Summer Hat (Straw),Seasonal,5,14.99,74.95,27.5
2026-01-01,P012,Trail Mix 250g,Snacks,1,4.49,4.49,2.3
2026-01-01,P013,Almond Milk 1L,Dairy,6,3.99,23.94,14.4
2026-01-01,P014,Croissants (4pk),Bakery,6,5.49,32.94,16.8
2026-01-01,P015,Energy Drink Can,Beverages,12,2.99,35.88,14.4
2026-01-02,P001,Whole Milk 1L,Dairy,7,3.49,24.43,14.7
2026-01-02,P002,Sourdough Bread,Bakery,6,4.99,29.94,15.0
2026-01-02,P003,Organic Eggs (12pk),Dairy,8,5.99,47.92,28.0
2026-01-02,P004,Archi POP's Chips (4pk),Snacks,2,6.49,12.98,6.4
2026-01-02,P005,Cold Brew Coffee,Beverages,7,4.29,30.03,12.6
2026-01-02,P006,Greek Yogurt 500g,Dairy,7,3.99,27.93,15.4
2026-01-02,P007,Sparkling Water (6pk),Beverages,7,5.49,38.43,19.6
2026-01-02,P008,Dark Chocolate Bar,Snacks,4,3.29,13.16,6.0
2026-01-02,P009,Fresh Orange Juice 1L,Beverages,7,4.79,33.53,18.2
